meeting_id,score_speechrate,score_intensity,score_f0var,y_nonverbal,mean_gap,mean_gap_filled,score_pause,y_nonverbal_with_pause
tv043,0.7132121510388503,0.8757763975155279,0.36024844720496896,0.6497456652531157,0.0,0.0,0.0,0.4873092489398368
tv044,0.6087189194906122,0.8198757763975155,0.1366459627329193,0.5217468862070157,0.0,0.0,0.0,0.39131016465526175
tv045,0.6205147822982223,0.8322981366459627,0.12422360248447206,0.525678840476219,0.7399999999999993,0.7399999999999993,0.8810810810810813,0.6145294006274347
tv046,1.0,0.5590062111801242,0.12422360248447206,0.5610766045548654,,0.0,0.0,0.42080745341614906
tv047,0.0,0.5900621118012422,0.0993788819875776,0.22981366459627328,,0.0,0.0,0.17236024844720496
tv048,0.11144419210666534,0.7515527950310559,0.484472049689441,0.4491563456090541,0.0,0.0,0.0,0.33686725920679056
tv049,1.0,0.5714285714285714,0.7080745341614907,0.7598343685300207,0.0,0.0,0.0,0.5698757763975155
tv050,0.8039331074643883,0.049689440993788817,0.9316770186335404,0.5950998556972392,1.5819999999999994,1.5819999999999994,0.6535135135135137,0.6097032701513079
tv051,0.0,0.6086956521739131,0.16149068322981364,0.2567287784679089,,0.0,0.0,0.19254658385093168
tv052,0.8251425111912951,0.19254658385093168,0.9813664596273292,0.6663518515565187,0.0,0.0,0.0,0.49976388866738897
tv053,1.0,0.4658385093167702,0.5714285714285714,0.6790890269151139,0.0,0.0,0.0,0.5093167701863354
tv054,0.0,0.6024844720496895,0.2360248447204969,0.27950310559006214,0.0,0.0,0.0,0.2096273291925466
tv055,0.6331826401446655,0.4161490683229814,0.17391304347826086,0.4077482506486359,,0.0,0.0,0.30581118798647694
tv056,0.7460287042137317,0.40372670807453415,0.8322981366459627,0.6606845163114096,0.0,0.0,0.0,0.49551338723355715
tv057,0.6411243021908252,0.9316770186335404,0.8695652173913043,0.8141221794052234,0.0,0.0,0.0,0.6105916345539175
tv058,0.07734926914833906,0.968944099378882,0.5465838509316769,0.530959073152966,0.0,0.0,0.0,0.3982193048647245
tv059,0.19671851803710094,0.6273291925465838,0.3354037267080745,0.38648381243058644,0.0,0.0,0.0,0.2898628593229398
tv060,0.6767389285767793,0.6149068322981367,0.6583850931677019,0.6500102846808726,0.6130769230769224,0.6130769230769224,0.9153846153846156,0.7163538673568084
tv061,1.0,0.031055900621118012,0.6708074534161491,0.567287784679089,0.0,0.0,0.0,0.42546583850931674
tv062,0.6427546138072444,0.39751552795031053,0.1366459627329193,0.39230536816349143,,0.0,0.0,0.2942290261226186
tv063,0.6138846756597056,0.9565217391304348,0.3850931677018634,0.6518331941640013,0.0,0.0,0.0,0.48887489562300096
tv064,0.0,0.35403726708074534,0.26086956521739135,0.2049689440993789,,0.0,0.0,0.15372670807453417
tv065,0.24520106416124143,0.3167701863354037,0.0496894409937888,0.20388689716347796,,0.0,0.0,0.15291517287260847
tv066,0.2722641036658473,0.10559006211180125,0.7577639751552795,0.378539380310976,0.0,0.0,0.0,0.283904535233232
tv067,1.0,0.5652173913043478,0.4223602484472049,0.6625258799171841,0.22571428571428648,0.22571428571428648,1.0,0.7468944099378881
tv068,0.26726149694106205,0.7701863354037267,0.5590062111801242,0.5321513478416376,0.0,0.0,0.0,0.39911351088122826
tv069,0.9147546964660179,0.37888198757763975,0.5341614906832298,0.6092660582422958,0.0,0.0,0.0,0.45694954368172186
tv070,1.0,0.8571428571428571,0.9192546583850931,0.9254658385093167,,0.0,0.0,0.6940993788819876
tv071,1.0,0.7888198757763976,0.1863354037267081,0.6583850931677019,0.0,0.0,0.0,0.49378881987577644
tv072,0.0,0.012422360248447204,0.5590062111801242,0.19047619047619047,3.335555555555552,3.335555555555552,0.17957957957958048,0.18775203775203797
tv073,1.0,0.9440993788819876,0.9937888198757764,0.979296066252588,0.0,0.0,0.0,0.734472049689441
tv074,0.0,0.018633540372670808,0.08695652173913038,0.035196687370600395,0.0,0.0,0.0,0.026397515527950298
tv075,0.4273255637377904,0.8385093167701864,0.5962732919254659,0.6207027241444809,0.0,0.0,0.0,0.4655270431083607
tv076,0.9917920424661872,0.5341614906832298,0.06211180124223603,0.5293551114638843,0.0,0.0,0.0,0.3970163335979132
tv077,0.660539896492321,0.9130434782608695,0.012422360248447228,0.5286685783338793,0.0,0.0,0.0,0.39650143375040947
tv078,0.09452034885034732,0.9192546583850931,0.07453416149068326,0.3627697229087079,0.5000000000000004,0.5000000000000004,0.9459459459459458,0.5085637786680174
tv079,0.5014653627305092,0.4720496894409938,0.24844720496894412,0.40732075238014903,,0.0,0.0,0.3054905642851118
tv080,0.0,0.4906832298136646,0.11180124223602483,0.20082815734989645,,0.0,0.0,0.15062111801242234
tv081,1.0,0.2236024844720497,0.484472049689441,0.5693581780538303,2.2874999999999996,2.2874999999999996,0.46283783783783794,0.5427280929998322
tv082,0.1760359110880847,0.7329192546583851,0.22360248447204967,0.3775192167395065,0.0,0.0,0.0,0.2831394125546299
tv083,1.0,0.6708074534161491,0.3229813664596273,0.6645962732919255,0.0,0.0,0.0,0.4984472049689441
tv084,0.5378543088354331,0.33540372670807456,0.024844720496894457,0.2993675853468007,,0.0,0.0,0.2245256890101005
tv085,0.0,0.024844720496894408,0.49689440993788825,0.1739130434782609,10.415,10.415,0.0,0.13043478260869568
tv086,0.9093953080143983,0.2670807453416149,0.7080745341614907,0.6281835291725012,10.11,10.11,0.0,0.4711376468793759
tv087,0.0,0.3416149068322981,0.0,0.11387163561076603,,0.0,0.0,0.08540372670807453
tv088,0.9954107835572517,0.7142857142857143,0.670807453416149,0.7935013170863717,0.6499999999999998,0.6499999999999998,0.9054054054054055,0.8214773391661301
tv089,0.9147992422623004,0.5838509316770186,0.6335403726708074,0.7107301822033755,0.41444444444444806,0.41444444444444806,0.9690690690690681,0.7753149039197986
tv090,0.971181640816444,0.40993788819875776,0.6583850931677018,0.6798348740609678,0.0,0.0,0.0,0.5098761555457259
tv091,1.0,0.5403726708074534,0.9068322981366459,0.8157349896480331,0.0,0.0,0.0,0.6118012422360248
tv092,1.0,0.43478260869565216,0.546583850931677,0.6604554865424431,,0.0,0.0,0.4953416149068323
tv093,0.7126030624263837,0.9627329192546584,0.5217391304347826,0.732358370705275,,0.0,0.0,0.5492687780289562
tv094,0.6385869258975259,0.422360248447205,0.2732919254658386,0.4447463666035231,0.0,0.0,0.0,0.33355977495264233
tv095,0.09859443987707284,0.14906832298136646,0.45962732919254656,0.2357633640169953,0.011666666666666709,0.011666666666666709,0.11666666666666708,0.20598918967941326
tv096,0.0,0.13043478260869565,0.9440993788819876,0.3581780538302277,1.176666666666667,1.176666666666667,0.763063063063063,0.45939930613843655
tv097,0.8239815932938566,0.8881987577639752,0.422360248447205,0.7115135331683455,0.0,0.0,0.0,0.5336351498762592
tv098,0.0,0.043478260869565216,0.5962732919254659,0.21325051759834368,0.0,0.0,0.0,0.15993788819875776
tv099,0.0,0.055900621118012424,0.049689440993788914,0.035196687370600444,,0.0,0.0,0.026397515527950333
tv100,0.0,0.4409937888198758,0.012422360248447228,0.15113871635610768,0.0,0.0,0.0,0.11335403726708075
tv101,1.0,0.906832298136646,0.9316770186335404,0.9461697722567287,0.4411764705882357,0.4411764705882357,0.9618441971383147,0.9500883784771252
tv102,0.5746562063079068,0.9937888198757764,0.3726708074534162,0.6470386112123664,0.0,0.0,0.0,0.4852789584092748
tv103,0.7217253503870165,0.34782608695652173,0.9440993788819876,0.6712169387418419,0.29333333333333417,0.29333333333333417,1.0,0.7534127040563814
tv104,0.6746548986048895,0.13664596273291926,0.34782608695652173,0.3863756494314435,0.3120000000000005,0.3120000000000005,0.9967567567567566,0.5389709262627718
tv105,0.0,0.16770186335403728,0.39751552795031064,0.1884057971014493,0.0,0.0,0.0,0.14130434782608697
tv106,0.0,0.9813664596273292,0.7204968944099379,0.567287784679089,0.0,0.0,0.0,0.42546583850931674
tv107,1.0,1.0,0.2857142857142857,0.7619047619047619,,0.0,0.0,0.5714285714285714
