meeting_id,tot,n,dm_enum,dm_closing,dm_conn,li_aizuchi,li_understand,conf_request,conf_report,su_proposal,su_hedged,su_risk,info,listen,conf,speakup,y_weak
tv070,54.24,21,0.0,0.0,0.14380530973451336,0.01843657817109138,0.030604719764011735,0.0,0.0,0.03281710914454279,0.1238938053097345,0.0,0.3387673778533657,0.9999978130321572,0.5,0.999856645221655,0.7096554590267945
tv071,113.68,42,0.08779028852920481,0.0,0.09940182969739626,0.03817733990147786,0.03817733990147786,0.0,0.010028149190710772,0.024454609429978895,0.0,0.058761435608726244,0.9999989492577062,0.9999978130321572,0.581204772372965,0.9981947518486949,0.8948490716278807
tv072,218.68600000000004,52,0.004572766432236174,0.0,0.04069762124690197,0.09657682704882799,0.0,0.0,0.0,0.0,0.0,0.021583457560154735,0.9996320343701716,0.9919053513072539,0.00020630899827846105,0.060651371122324965,0.5130987664495072
tv073,50.26,21,0.0,0.0,0.035813768404297744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3002002702918852,0.004088839685969286,0.5,0.00888593683645558,0.2032937617035775
tv074,55.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24089660691648035,0.5,0.5,0.5,0.4352241517291201
tv075,274.84,79,0.06774850822296606,0.0,0.11068257895502848,0.004948333575898548,0.03478387425411144,0.0,0.0,0.0,0.01753747634987628,0.03762188909911222,0.9999989492577062,0.9990385635898675,0.00020630899827846105,0.22374901743842796,0.55574820982107
tv076,166.48,51,0.07099951946179722,0.007808745795290709,0.13995675156174917,0.0,0.012253724171071553,0.0,0.0,0.04228736184526665,0.0,0.03676117251321483,0.9999986467015365,0.43721347427191987,0.00020630899827846105,0.9998686010298704,0.6093217577504013
tv077,38.28,18,0.07366771159874608,0.05276907001044926,0.0,0.0,0.09195402298850573,0.0,0.0,0.0,0.0,0.0,0.9999910678615359,0.9387261714334026,0.5,0.14660753386985984,0.6463311932911996
tv078,28.379999999999995,12,0.0,0.0,0.37914023960535587,0.007751937984496083,0.076109936575053,0.0,0.23749119097956312,0.23749119097956312,0.0,0.1945031712473573,0.6076040908673526,0.9990385635898675,0.9996931558402029,0.999997054789799,0.9015832162718055
tv079,79.24,17,0.0,0.0,0.08808682483594141,0.0,0.011105502271579953,0.0,0.07294295810196859,0.0194346289752651,0.0,0.0,0.3002002702918852,0.43721347427191987,0.9996931558402029,0.7725356374263865,0.6274106344575987
tv080,49.9,11,0.0,0.0,0.1787575150300601,0.0,0.10541082164328654,0.0,0.0,0.1118236472945893,0.0,0.0,0.6076040908673526,0.9943186938471683,0.5,0.9998374375847068,0.7754400555748069
tv081,510.57218750000004,95,0.0,0.0,0.08823434002660005,0.00654168025946375,0.0,0.0,0.004583093355432728,0.010067136686719713,0.004465578141191026,0.01331839094741135,0.5118624152730179,0.21781459257129543,0.581204772372965,0.9909248011640487,0.5754516453453318
tv082,180.44,56,0.011527377521613823,0.0,0.10352471735757036,0.05370206162713374,0.011638217690090857,0.0,0.0,0.0,0.0,0.0,0.9996320343701716,0.9999568740495751,0.00020630899827846105,0.004521877866023084,0.501079273821012
tv083,71.36,26,0.0,0.038116591928251106,0.10650224215246629,0.0,0.0,0.0,0.0,0.0,0.0,0.021580717488789238,0.3350931808096259,0.004088839685969286,0.001365285197515286,0.060651371122324965,0.10029966920385885
tv084,151.52,23,0.06850580781415001,0.0,0.2659714889123547,0.0,0.0,0.0,0.07761351636747622,0.0,0.0,0.0,0.9999978494011043,0.004088839685969286,0.9996931558402029,0.00888593683645558,0.503166445440933
tv085,34.980000000000004,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24089660691648035,0.5,0.5,0.5,0.4352241517291201
tv086,21.26,5,0.0,0.0,0.2831608654750706,0.0,0.0,0.0,0.0,0.0,0.0,0.19002822201317027,0.6076040908673526,0.5,0.5,0.9822077777448291,0.6474529671530455
tv087,102.72,18,0.0,0.0,0.05023364485981305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3002002702918852,0.004088839685969286,0.5,0.14660753386985984,0.23772416096192855
tv088,197.7,54,0.018614061709661137,0.0,0.17531613555892767,0.0,0.01294891249367729,0.0,0.0,0.0,0.0,0.03702579666160846,0.9996918776150855,0.43721347427191987,0.00020630899827846105,0.060651371122324965,0.3744407580019022
tv089,652.05,202,0.05198987807683472,0.006333870101986038,0.1521202361782077,0.0033126293995858727,0.00736139866574651,0.0,0.0030365769496203685,0.016195077064642373,0.003281956905145313,0.03324898397362174,0.9999986467015365,0.9813753752651537,0.581204772372965,0.9909248011640487,0.8883758988759259
tv090,85.43,27,0.0,0.0,0.3104295914784034,0.007257403722345832,0.0,0.0,0.0,0.034180030434273694,0.0,0.0,0.5560165835999645,0.21781459257129543,0.001365285197515286,0.9981354877673811,0.44333298728403914
tv091,105.7,33,0.04730368968779565,0.0,0.15080416272469263,0.004730368968779565,0.004730368968779565,0.0,0.0,0.0,0.0,0.02062440870387883,0.9996918776150855,0.9813753752651537,0.00020630899827846105,0.060651371122324965,0.5104812332502107
tv092,85.9603125,22,0.0,0.0,0.08166559422407865,0.010702613488055897,0.024662544124650517,0.0,0.0411817953779542,0.08399224933017779,0.01140061001988563,0.1663558400860862,0.3002002702918852,0.9990385635898675,0.9019095771191421,0.9999986978400666,0.8002867772102402
tv093,16.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24089660691648035,0.5,0.5,0.5,0.4352241517291201
tv094,55.04,18,0.0,0.0,0.16097383720930228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3387673778533657,0.004088839685969286,0.5,0.14660753386985984,0.2473659378522987
tv095,87.62,34,0.0,0.0,0.21661721068249257,0.018945446245149513,0.018945446245149513,0.0,0.0,0.027619265007988898,0.0,0.0,0.5560165835999645,0.9999568740495751,0.00020630899827846105,0.6324515594512827,0.5471578315247752
tv096,50.96,14,0.0,0.04631083202511772,0.05572998430141294,0.0027472527472527574,0.0,0.0,0.0,0.0,0.0,0.0,0.6036760949161432,0.8558503601492433,0.5,0.5,0.6148816137663466
tv097,101.84,26,0.0,0.036331500392772866,0.03161822466614296,0.0,0.0,0.05341712490180676,0.0,0.0,0.0,0.14414768263943434,0.3350931808096259,0.004088839685969286,0.061081244561592765,0.5934403499041494,0.24842590374033435
tv098,159.0,38,0.0,0.0,0.06566037735849053,0.0,0.03283018867924529,0.0,0.008930817610062858,0.0,0.0,0.0,0.5118624152730179,0.9387261714334026,0.581204772372965,0.004521877866023084,0.5090788092363521
