alpha,u_text,u_voice,nash_product
0.076,0.12476365469543928,0.9971227546031155,0.07163546955500821
0.077,0.12582853330834037,0.9970408172373278,0.0726386201689158
0.078,0.12689528567033154,0.9969575725970845,0.0736432705732562
0.079,0.12796391299056833,0.9968730139719526,0.0746494167337831
0.08,0.1290344164545803,0.9967871346278667,0.07565705454812902
0.081,0.13010679722403737,0.9966999278071358,0.07666617984532625
0.082,0.1311810564365155,0.9966113867284601,0.07767678838532799
0.083,0.13225719520526086,0.9965215045869422,0.07868887585852702
0.084,0.13333521461895276,0.9964302745541055,0.07970243788527423
0.085,0.13441511574146595,0.9963376897779097,0.08071747001539578
0.08600000000000001,0.13549689961163072,0.9962437433827694,0.0817339677277086
0.08700000000000001,0.1365805672429927,0.9961484284695745,0.08275192642953567
0.088,0.13766611962357123,0.9960517381157115,0.08377134145621992
0.089,0.13875355771561626,0.9959536653750856,0.08479220807063698
0.09,0.13984288245536416,0.995854203278147,0.08581452146270704
0.091,0.14093409475279303,0.9957533448319131,0.08683827674890622
0.092,0.14202719549137555,0.9956510830199996,0.0878634689717762
0.093,0.14312218552783174,0.9955474108026473,0.08889009309943374
0.094,0.14421906569188023,0.9954423211167525,0.08991814402507901
0.095,0.14531783678598809,0.9953358068758988,0.09094761656650295
0.096,0.14641849958512004,0.995227860970392,0.0919785054655945
0.097,0.14752105483648592,0.9951184762672931,0.09301080538784624
0.098,0.1486255032592873,0.9950076456104566,0.09404451092185989
0.099,0.14973184554446323,0.994895361820568,0.09507961657885113
0.1,0.1508400823544342,0.9947816176951839,0.09611611679215341
0.101,0.15195021432284553,0.9946664060087738,0.09715400591672164
0.10200000000000001,0.15306224205430935,0.9945497195127627,0.09819327822863484
0.10300000000000001,0.1541761661241457,0.9944315509355773,0.09923392792459887
0.10400000000000001,0.15529198707812192,0.9943118929826912,0.1002759491214477
0.105,0.15640970543219188,0.994190738336675,0.10131933585564563
0.106,0.15752932167223324,0.9940680796572445,0.10236408208278763
0.107,0.15865083625378407,0.9939439095813143,0.10341018167710042
0.108,0.15977424960177827,0.9938182207230506,0.10445762843094268
0.109,0.16089956211027995,0.9936910056739273,0.10550641605430516
0.11,0.16202677414221658,0.9935622570027831,0.10655653817431048
0.111,0.16315588602911116,0.9934319672558798,0.1076079883347125
0.112,0.16428689807081365,0.993300128956965,0.10866075999539636
0.113,0.16541981053523064,0.9931667346073335,0.10971484653187727
0.114,0.16655462365805468,0.9930317766858936,0.11077024123480017
0.115,0.16769133764249214,0.9928952476492321,0.11182693730943875
0.116,0.16882995265899015,0.9927571399316836,0.11288492787519479
0.117,0.16997046884496292,0.9926174459454029,0.11394420596509808
0.11800000000000001,0.1711128863045159,0.9924761580804338,0.11500476452530467
0.11900000000000001,0.17225720510817077,0.9923332687047868,0.11606659641459802
0.12,0.17340342529258732,0.9921887701645147,0.11712969440388764
0.121,0.1745515468602863,0.9920426547837908,0.11819405117571012
0.122,0.17570156977937004,0.9918949148649905,0.11925965932372933
0.123,0.17685349398324238,0.9917455426887717,0.12032651135223679
0.124,0.178007319370328,0.9915945305141624,0.12139459967565369
0.125,0.17916304580379036,0.9914418705786459,0.12246391661803212
0.126,0.18032067311124936,0.9912875550982502,0.12353445441255775
0.127,0.18148020108449694,0.9911315762676388,0.12460620520105216
0.128,0.18264162947921314,0.9909739262602043,0.1256791610334768
0.129,0.18380495801468033,0.9908145972281635,0.126753313867437
0.13,0.18497018637349663,0.9906535813026554,0.1278286555676868
0.131,0.18613731420128923,0.9904908705938409,0.12890517790563505
0.132,0.18730634110642577,0.990326457191005,0.1299828725588517
0.133,0.1884772666597255,0.9901603331626601,0.13106173111057523
0.134,0.1896500903941698,0.9899924905566546,0.13214174504922171
0.135,0.19082481180461122,0.9898229214002793,0.1332229057678938
0.136,0.1920014303474823,0.9896516177003813,0.1343052045638918
0.137,0.19317994544050338,0.9894785714434747,0.13538863263822531
0.138,0.19436035646238958,0.9893037745958592,0.1364731810951264
0.139,0.19554266275255697,0.9891272191037357,0.13755884094156376
0.14,0.1967268636108283,0.9889488968933288,0.13864560308675866
0.14100000000000001,0.1979129582971378,0.9887687998710093,0.13973345834170212
0.14200000000000002,0.19910094603123502,0.988586919923419,0.1408223974186732
0.14300000000000002,0.2002908259923885,0.9884032489175995,0.14191241093075957
